Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,302.861145,304.927032,297.352051,298.591614,281.52005,3215431
1/5/2010,301.392059,304.835205,298.867065,303.320221,285.978271,4685390
1/6/2010,305.707489,307.727478,299.417969,300.106598,282.948425,4802900
1/7/2010,301.483856,306.67157,301.162506,302.447968,285.155914,4213709
1/8/2010,302.769318,304.330231,298.086609,298.453888,281.390228,2892365
1/11/2010,303.917053,303.917053,298.867065,302.03479,284.766357,3423318
1/12/2010,303.090668,306.579773,294.184357,295.882965,278.966248,7087638
1/13/2010,295.194336,295.607513,289.455719,292.347992,275.633392,4682874
1/14/2010,293.08255,296.204346,291.246185,292.026642,275.330383,4269359
1/15/2010,291.980713,296.112518,290.144379,291.42981,274.7677,4800164
1/18/2010,291.062531,296.296173,290.282104,294.459808,277.624451,4268231
1/19/2010,294.73526,299.142517,292.07254,294.322083,277.494598,4231078
1/20/2010,295.240265,305.110687,295.240265,304.376129,286.973846,9929177
1/21/2010,302.998871,305.753387,294.918884,296.020691,279.09613,4307799
1/22/2010,292.623444,302.998871,289.226196,295.791168,278.8797,9471058
1/25/2010,295.791168,304.605682,292.347992,303.825226,286.454468,5880014
1/27/2010,302.539764,304.651581,293.817078,296.479797,279.528961,5493885
1/28/2010,297.489807,301.02478,285.553467,287.986633,271.521423,8299959
1/29/2010,285.553467,288.216187,279.263947,281.329865,265.245239,7455753
2/1/2010,280.044403,288.032562,280.044403,285.737122,269.400513,4209728
2/2/2010,288.76709,289.868896,281.054413,282.47757,266.32724,5002944
2/3/2010,284.635284,287.160278,281.421661,283.717102,267.495941,3974576
2/4/2010,281.880768,283.717102,275.912598,279.218048,263.25412,2808774
2/5/2010,277.289856,279.539398,270.311707,275.49942,259.748108,4264660
2/6/2010,null,null,null,null,null,null
2/8/2010,277.381683,285.094391,274.902618,283.1203,266.933319,5237081
2/9/2010,284.635284,290.603455,281.880768,287.527557,271.088501,6672234
2/10/2010,289.226196,292.347992,282.982574,289.501648,272.949768,5900595
2/11/2010,289.685272,291.888916,285.323914,288.76709,272.257172,3673278
2/15/2010,291.062531,291.062531,261.129913,262.23175,247.239029,20663297
2/16/2010,262.598999,265.812653,247.31134,249.377243,235.119415,49059303
2/17/2010,251.029968,258.696747,251.029968,256.309479,241.655334,17569953
2/18/2010,256.171753,261.129913,253.417236,258.834473,244.035965,7641741
2/19/2010,257.59494,260.670837,251.856323,255.988129,241.352341,9582805
2/22/2010,258.008118,259.844482,253.417236,254.243591,239.707565,6167576
2/23/2010,252.499054,258.191742,252.499054,257.181763,242.477753,4072597
2/24/2010,257.089935,257.089935,252.499054,253.371323,238.885147,5665224
2/25/2010,254.335403,257.089935,252.958145,253.646774,239.144867,7001121
2/26/2010,255.253586,258.9263,253.233597,256.493134,241.828461,6996919
3/2/2010,257.089935,268.842621,257.089935,266.455353,251.221115,6822031
3/3/2010,269.026276,270.770813,266.54718,268.062164,252.736038,5552156
3/4/2010,266.271729,270.770813,266.271729,269.577179,254.164459,3595962
3/5/2010,269.944427,278.896667,269.026276,274.030334,258.362976,8895757
3/8/2010,273.754883,278.024414,267.189911,268.750824,253.385361,6814308
3/9/2010,268.108093,270.082153,263.56311,267.465363,252.17334,4122953
3/10/2010,268.108093,270.403534,260.762665,264.435364,249.316589,5864997
3/11/2010,265.261719,271.367615,264.756744,269.898529,254.467377,4389219
3/12/2010,269.026276,275.774872,269.026276,274.627136,258.92569,4405195
3/15/2010,266.271729,276.647156,266.271729,274.994415,259.271942,3413668
3/16/2010,274.076233,274.535339,268.613068,270.678986,255.203262,2986593
3/17/2010,271.780792,276.83078,271.459442,273.663055,258.016724,3627803
3/18/2010,275.407593,278.667145,272.790802,275.545319,259.791351,4889785
3/19/2010,275.453522,287.252106,275.453522,286.379822,270.006409,8348882
3/22/2010,282.339844,293.633453,281.880768,290.465729,273.858643,7275137
3/23/2010,291.246185,294.73526,280.549408,282.47757,266.32724,6119898
3/25/2010,284.635284,290.144379,278.208038,288.675293,272.170654,11171688
3/26/2010,289.08847,290.052551,280.044403,284.77301,268.491516,7828909
3/29/2010,285.553467,289.134369,284.818939,286.655273,270.266113,3045743
3/30/2010,286.012573,290.144379,284.405762,285.415741,269.097412,3631981
3/31/2010,283.44165,293.541626,281.880768,286.976654,270.569122,7394110
4/1/2010,287.022552,290.603455,275.958496,277.289856,261.436218,14153614
4/5/2010,281.880768,292.118439,277.748962,290.190277,273.598999,10543536
4/6/2010,291.521637,292.715271,286.288025,290.557556,273.945343,4053513
4/7/2010,291.062531,299.142517,288.032562,294.184357,277.364807,5664078
4/8/2010,292.898895,295.194336,284.635284,287.298004,270.872162,6750418
4/9/2010,286.471649,290.603455,281.880768,282.707123,266.543732,6364752
4/12/2010,280.503479,286.379822,280.503479,282.982574,266.803375,5783279
4/13/2010,281.880768,286.471649,281.100311,281.880768,265.764557,3333253
4/15/2010,282.79895,285.507568,278.070313,279.309845,263.340729,4840783
4/16/2010,278.667145,281.559387,277.014404,279.860779,263.860138,4077402
4/19/2010,315.577911,315.577911,273.84671,280.870758,264.812347,4723456
4/20/2010,283.717102,283.717102,277.748962,279.585327,263.600433,3691619
4/21/2010,280.962585,282.982574,278.667145,280.687134,264.639221,5515902
4/22/2010,280.044403,280.044403,276.83078,278.299866,262.388397,4131440
4/23/2010,278.575317,279.952576,272.928528,273.800781,258.146606,15633648
4/26/2010,275.545319,279.034393,271.780792,273.066254,257.454071,4679110
4/27/2010,273.617157,276.83078,272.148071,273.892609,258.233154,3365049
4/28/2010,273.571259,275.086243,268.108093,269.760803,254.337509,6585738
4/29/2010,269.944427,274.076233,268.19989,272.102173,256.545105,5708981
4/30/2010,274.535339,277.657135,271.275787,274.122162,258.449615,7954734
5/3/2010,273.617157,275.361694,271.046265,272.698975,257.107788,3262712
5/4/2010,274.535339,274.535339,264.57309,265.353546,250.182266,4645024
5/5/2010,263.700836,275.269867,260.028107,272.056244,256.501831,9691571
5/6/2010,271.688965,272.698975,266.54718,268.062164,252.736038,5577432
5/7/2010,264.435364,266.179901,261.864471,263.976288,248.883774,3325295
5/10/2010,268.108093,273.617157,263.287659,270.311707,254.856995,3713606
5/11/2010,270.403534,270.403534,260.854462,261.405396,246.459885,5158888
5/12/2010,260.762665,261.221741,238.588654,239.8741,226.159622,28774364
5/13/2010,240.103638,249.744522,233.676392,237.257294,223.692444,29924176
5/14/2010,234.594574,245.842255,233.722305,242.904083,229.016373,14669958
5/17/2010,238.726379,245.612717,237.02774,244.83226,230.83429,5435378
5/18/2010,245.153625,249.560883,242.720459,246.025894,231.959686,5889968
5/19/2010,244.694534,245.153625,236.981842,238.450928,224.81781,5150354
5/20/2010,238.726379,243.822266,237.624557,238.955917,225.293976,4981867
5/21/2010,237.808197,245.337265,231.380951,244.419083,230.444717,3688718
5/24/2010,246.117706,249.147705,241.756363,244.281357,230.314911,5387893
5/25/2010,243.868179,248.275436,240.608643,242.949997,229.059647,5182457
5/26/2010,245.153625,247.540894,238.726379,242.077728,228.237274,4225688
5/27/2010,241.572723,243.317261,236.522751,239.323196,225.640198,8029827
5/28/2010,242.399094,244.051804,236.935928,239.369095,225.683472,5684517
5/31/2010,239.644547,242.812271,238.726379,241.389099,227.587997,3835617
6/1/2010,241.572723,242.399094,234.135483,235.971848,222.480469,5353649
6/2/2010,235.971848,250.1577,233.538666,248.229523,234.037338,10599030
6/3/2010,250.111786,254.335403,249.193604,251.075882,236.720947,6768077
6/4/2010,249.744522,255.620865,245.612717,253.692688,239.188126,4884010
6/7/2010,244.235443,250.938141,244.235443,246.439072,232.349258,4542589
6/8/2010,246.989975,248.964066,236.201385,237.21138,223.649139,5118542
